ERP CODE;;BARCODE;ITEM DESCRIPTION;LOT DESCRIPTION & COMMENTS;CATEGORY;QTY NOW AVAILABLE;PRICE;ITEM INFO;YOUR ORDER;PUBLISHER;WEIGHT (in Kg);VOLUME (in M3);Our margin;TOTAL PRICE;;
034563;B076KVHN9J;5030917216794;"Overwatch - ""Cute but Deadly"" Series 3 Blind Boxe Figures (12 pieces) (GE9001)";;GAMING;1;87,99 _;;;GAYA ENTERTAINMENT;1,180;0,010900;96,79 _;120,02 _;;
037876;B06XRR8NVG;4934054903269;"Star Wars - Han Solo & Chewbacca ""2-Pack"" ARTFX+ PVC Statue 1/10";EN,FR,ES,DE PACK / CARTON BOX;TV & MOVIES;2;86,59 _;;;KOTOBUKIYA;1,095;0,012376;95,25 _;118,11 _;;
037873;B06WLMHCW9;4934054902446;Star Wars - Obi-Wan Kenobi ARTFX+ PVC Statue 1/10;EN,DE,FR,ES PACK / CARTON BOX;TV & MOVIES;1;48,94 _;;;KOTOBUKIYA;0,760;0,008250;53,83 _;66,75 _;;
036886;B079T3Z1NL;5055964714604;The Legend of Zelda - Enamel Pin Badges CDU 18pcs (PP4056NN);ENGLISH LABEL / CARTON BOX;VARIOUS;13;45,49 _;;;PALADONE PRODUCTS;0,625;0,006037;50,04 _;62,05 _;;
037877;B0758JKGBR;4934054903306;Star Wars - First Order Stormtooper FN-2199 ARTFX+ PVC Statue 1/10;EN,DE,FR,ES PACK / CARTON BOX;TV & MOVIES;1;44,24 _;;;KOTOBUKIYA;0,590;0,006237;48,66 _;60,34 _;;
037870;B011KTZH3O;4934054902477;Marvel Now! - The Flash ARTFX + PVC Statue 1/6;EN,FR,ES,IT PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;1;43,29 _;;;KOTOBUKIYA;1,093;0,015295;47,62 _;59,05 _;;
018470;B005GHOE9A;4934054901425;"Star Wars - C-3PO & R2-D2 ""2-Pack"" ARTFX+ PVC Statue 1/10";EN , FR , IT , ES , JP PACK / CARTON BOX;TV & MOVIES;1;43,29 _;;;KOTOBUKIYA;0,774;0,009902;47,62 _;59,05 _;;
031061;B06XJF3B9B;787926147186;WALKING DEAD - NEGAN'S BAT REPLICA (81cm);EN,FR,ES PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;13;37,00 _;;;MCFARLANE TOYS;1,200;0,011310;40,70 _;50,47 _;;
019135;B004DCTI68;3700472002584;STAR WARS - ELITE COLLECTION SHADOW TROOPER STATUE (SW003) (19cm);ENGLISH PACK / CARTON BOX;TV & MOVIES;4;36,20 _;;;ATTAKUS;0,517;0,005279;39,82 _;49,38 _;;
032258;B0757VSP59;5060316621004;Crash Bandicoot N. Sane Trilogy PVC Pained Statue (23cm);ENGLISH PACK / CARTON WINDOW BOX WITH PLASTIC FILM;GAMING;23;35,10 _;;;FIRST4FIGURES;0,870;0,011900;38,61 _;47,88 _;;
