_____________ ________ 09/2018;;;;;;;_______. ____ _____.; -     ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
________:;;;___:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_________:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_______:;;;;;DUPLO;#DIV/0!;CITY;;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_____.:;;;_____;#REF!;NINJAGO;#DIV/0!;FRIENDS;;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_______ SAP;_______ LEGO;_________;____;LAUNCH DATE;DELETE DATE;______/;TEM/ KIB; _._. ; ____. _._. ; _._ + VAT ; AMAZON fees ; Shipping Cost ;______;________;____ (mm);_____ (mm);______ (mm); _. _____ (kgr) ; _____ (cdm) ; ___________ ;_______ ___;ASIN;________ (______.);_______ / ____;Target Margin;AMAZON TOTAL PRICE;Buy Price;Shippin Cost;Real Amazon Fees;Real Net PnL;Real Margin %;;_____ (____);____ 4;;Total price;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202441;42083;42083 Bugatti Chiron;Technic;___-18;___-20;;1; 307,90   ; 459,99   ; 381,80   ; 78,27   ; 35,65   ;16+;No;150;570;375; 6,23 ; 32,06 ; 6,41 ;5702016116977;B0792RB3B6;3599;Y;25%; 591,17   ; 381,80   ; 35,65   ; 88,68   ; 85,05   ;22%;;0,5;18,87;;XT;381,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200779;31313;31313 LEGO© MINDSTORMS© EV3;MINDSTORMS;___-13;___-19;;1; 266,66   ; 399,99   ; 330,66   ; 66,27   ; 22,79   ;10+;BATTERIES NEEDED - 2 PCS AAA. + 6 PCS AA;378;480;70,5; 1,80 ; 12,79 ; 2,56 ;5702014982734;B00CWER3XY;601;Y;25%; 502,38   ; 330,66   ; 22,79   ; 75,36   ; 73,58   ;22%;;1;18,87;;AMAzo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202095;42070;42070 6x6 All Terrain Tow Truck;Technic;___-17;___-19;;2; 198,38   ; 299,99   ; 245,99   ; 52,81   ; 35,65   ;11-16;BATTERIES: 3XAAA + 6XAA NOT INCLUDED;124;582;480; 4,02 ; 34,64 ; 6,93 ;5702015869768;B07146N1MP;1862;Y;25%; 395,95   ; 245,99   ; 35,65   ; 59,39   ; 54,91   ;22%;;1,5;19,64;;Ship;35,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202440;42082;42082 Rough Terrain Crane;Technic;___-18;___-20;;2; 189,67   ; 279,99   ; 235,19   ; 52,59   ; 45,30   ;11+;No;170;582;480; 5,87 ; 47,49 ; 9,50 ;5702016116960;B0792RDN2Z;4057;Y;25%; 391,88   ; 235,19   ; 45,30   ; 58,78   ; 52,61   ;22%;;2;20,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201763;42055;42055 Bucket Wheel Excavator;Technic;___-16;___-18;;2; 186,66   ; 279,99   ; 231,46   ; 51,89   ; 45,30   ;12-16;BATTERIES: 6 X AA NOT INCLUDED;170;582;480; 5,94 ; 47,49 ; 9,50 ;5702015594011;B01CU9X8AC;3929;Y;25%; 386,51   ; 231,46   ; 45,30   ; 57,98   ; 51,78   ;22%;;2,5;21,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202503;70657;70657 NINJAGO© City Docks;Ninjago;____-18;___-19;;2; 176,12   ; 259,99   ; 218,39   ; 47,63   ; 35,65   ;12+;No;124;582;480; 4,38 ; 34,64 ; 6,93 ;5702016110715;B0765B917F;3553;Y;25%; 356,27   ; 218,39   ; 35,65   ; 53,44   ; 48,79   ;22%;;3;22,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202469;60198;60198 Cargo Train;City Trains;___-18;____-22;;2; 153,94   ; 229,99   ; 190,89   ; 42,48   ; 35,65   ;6-12;No;124;582;480; 2,72 ; 34,64 ; 6,93 ;5702016109795;B07C39LCZ9;1226;Y;25%; 316,73   ; 190,89   ; 35,65   ; 47,51   ; 42,69   ;22%;;3,5;24,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202543;75212;75212 CONF Pegasus;Star Wars TM;___-18;___-19;;3; 132,25   ; 199,99   ; 163,99   ; 35,62   ; 26,00   ;9-14;No;87;582;378; 2,57 ; 19,14 ; 3,83 ;5702016110609;B075GQ854W;1414;Y;25%; 266,62   ; 163,99   ; 26,00   ; 39,99   ; 36,63   ;22%;;4;26,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202333;17101;17101 Creative Toolbox;BOOST;___-17;___-20;;2; 124,11   ; 189,99   ; 153,90   ; 33,13   ; 22,79   ;7-12;BATTERIES: 6 X AAA NOT INCLUDED;91;540;282; 1,38 ; 13,86 ; 2,77 ;5702015930000;B072MK1PDV;847;Y;25%; 248,29   ; 153,90   ; 22,79   ; 37,24   ; 34,36   ;22%;;4,5;27,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202154;70618;70618 Destiny's Bounty;Ninjago;___-17;____-19;;3; 125,64   ; 189,99   ; 155,79   ; 35,29   ; 32,44   ;9-14;No;118;582;378; 2,96 ; 25,96 ; 5,19 ;5702015611480;B072MK15PK;2295;Y;25%; 262,47   ; 155,79   ; 32,44   ; 39,37   ; 34,87   ;22%;;5;29,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
